,ts_code,trade_date,exchange,pre_settle,pre_close,open,high,low,close,settle,vol,amount,oi,per_unit,call_put,exercise_price,maturity_date,s_month,equities_close,maturity_time,iv,value,vega
88,10001523.SH,20190102,SSE,0.0304,0.0304,0.0304,0.031,0.0231,0.0244,0.0242,0.2091,533198.35,13021.0,10202.0,1,2.745,20190626,201906,2.255,0.4794520547945205,0.2376622613404945,-0.016889496006433385,0.1627896797107397
89,10001439.SH,20190102,SSE,0.158,0.158,0.1672,0.1672,0.1318,0.1368,0.136,0.0595,857720.91,2361.0,10202.0,1,2.205,20190327,201903,2.255,0.23013698630136986,0.2519623093592003,0.07288219730757284,0.6179543045270877
90,10001517.SH,20190102,SSE,0.361,0.3598,0.3484,0.3804,0.3484,0.3751,0.392,0.0281,1062598.49,740.0,10202.0,-1,2.647,20190626,201906,2.255,0.4794520547945205,7.888609052210118e-31,0.36031556562419853,0.24549198526749566
91,10001572.SH,20190102,SSE,0.0941,0.0941,0.0871,0.11699999999999999,0.0838,0.11,0.11,4.4524,47240309.0,50263.0,10000.0,-1,2.35,20190123,201901,2.255,0.057534246575342465,0.2264344210647799,0.07154608436406384,0.2568598950974948
92,10001654.SH,20190102,SSE,0.0292,0.0292,0.0289,0.0302,0.0175,0.0183,0.0183,0.7196,1437009.0,7358.0,10000.0,1,2.45,20190227,201902,2.255,0.15342465753424658,0.21838868813552154,-0.03880149080153039,0.3489605097355776
93,10001570.SH,20190102,SSE,0.0392,0.0392,0.0335,0.0503,0.0324,0.0466,0.0466,10.3812,46043849.0,70222.0,10000.0,-1,2.25,20190123,201901,2.255,0.057534246575342465,0.23072275181839053,0.018454432775045992,0.2793556860140804
94,10001502.SH,20190102,SSE,0.1396,0.1396,0.14,0.14,0.11699999999999999,0.1206,0.12,0.0273,342963.69,762.0,10202.0,1,2.352,20190626,201906,2.255,0.4794520547945205,0.253080014613037,0.026452410214729438,0.6644349214392472
95,10001568.SH,20190102,SSE,0.0016,0.0017,0.0013,0.0022,0.0009,0.0009,0.0009,0.9961,118912.0,41973.0,10000.0,1,2.6,20190123,201901,2.255,0.057534246575342465,0.275042919479101,-0.10682581417052583,0.2055360647483074
96,10001470.SH,20190102,SSE,0.508,0.4891,0.4879,0.5232,0.4879,0.5138,0.539,0.1105,5752308.94,3780.0,10202.0,-1,2.7939999999999996,20190327,201903,2.255,0.23013698630136986,7.888609052210118e-31,0.47422063475914156,0.18334365106460795
97,10001417.SH,20190102,SSE,0.0829,0.0829,0.0829,0.0865,0.0643,0.0679,0.0679,0.1668,1186069.22,3238.0,10202.0,1,2.352,20190327,201903,2.255,0.23013698630136986,0.244792100036065,0.003311363120753086,0.4849093011492543
98,10001433.SH,20190102,SSE,0.41,0.3934,0.4001,0.4292,0.4001,0.4222,0.441,0.0248,1058702.35,1862.0,10202.0,-1,2.696,20190327,201903,2.255,0.23013698630136986,7.888609052210118e-31,0.3770209572245671,0.23393439461793156
99,10001599.SH,20190102,SSE,0.1401,0.1401,0.1401,0.1405,0.11800000000000001,0.12,0.12,0.098,1206191.0,1135.0,10000.0,1,2.35,20190626,201906,2.255,0.4794520547945205,0.2508727201464479,0.027130489797051793,0.6680420509065157
100,10001438.SH,20190102,SSE,0.0748,0.0742,0.0729,0.08800000000000001,0.0698,0.0845,0.0848,0.134,1121044.73,3964.0,10202.0,-1,2.254,20190327,201903,2.255,0.23013698630136986,0.20368988196403626,0.03998021999780943,0.5728352967983303
101,10001637.SH,20190102,SSE,0.2525,0.2525,0.2597,0.2597,0.2226,0.2282,0.2272,0.0595,1371609.0,1000.0,10000.0,1,2.15,20190626,201906,2.255,0.4794520547945205,0.27278984968071907,0.13093107911094437,1.0428170099854024
102,10001579.SH,20190102,SSE,0.1325,0.1325,0.1357,0.1369,0.1071,0.1123,0.1115,0.1471,1670908.0,2792.0,10000.0,1,2.25,20190327,201903,2.255,0.23013698630136986,0.24956233271091777,0.048194199875723154,0.5765013649647885
103,10001435.SH,20190102,SSE,0.1048,0.1048,0.1072,0.1075,0.083,0.0868,0.0867,0.0838,758060.63,1584.0,10202.0,1,2.303,20190327,201903,2.255,0.23013698630136986,0.2457553200511487,0.022997534982781342,0.5283409952730432
104,10001656.SH,20190102,SSE,0.0166,0.0166,0.0155,0.0197,0.0132,0.0189,0.0189,0.9172,1596627.0,9991.0,10000.0,-1,2.1,20190227,201902,2.255,0.15342465753424658,0.2119779268905293,-0.027004665424819052,0.5584056035947997
105,10001586.SH,20190102,SSE,0.0203,0.0203,0.0202,0.0214,0.0141,0.0154,0.0154,0.2659,412355.0,6985.0,10000.0,1,2.6,20190327,201903,2.255,0.23013698630136986,0.2415853213333291,-0.05104465523426949,0.29273498852501867
